r,p_of_r
0,0
0.300751879699,0.000519292556883
0.601503759398,0.00206417486434
0.902255639098,0.0046151538776
1.2030075188,0.00815273655187
1.5037593985,0.0126574298424
1.8045112782,0.0181097407043
2.10526315789,0.0244901760929
2.40601503759,0.0317792429634
2.70676691729,0.039957448271
3.00751879699,0.0490052989709
3.30827067669,0.0589033020184
3.60902255639,0.0696319643686
3.90977443609,0.0811717929768
4.21052631579,0.0935032947981
4.51127819549,0.106606976788
4.81203007519,0.120463345901
5.11278195489,0.135052909094
5.41353383459,0.15035617332
5.71428571429,0.166353645535
6.01503759398,0.183025832696
6.31578947368,0.200353241755
6.61654135338,0.21831637967
6.91729323308,0.236895753395
7.21804511278,0.256071869885
7.51879699248,0.275825236096
7.81954887218,0.296136358983
8.12030075188,0.3169857455
8.42105263158,0.338353902604
8.72180451128,0.360221337249
9.02255639098,0.382568556391
9.32330827068,0.405376066985
9.62406015038,0.428624375986
9.92481203008,0.45229399035
10.2255639098,0.476365417031
10.5263157895,0.500819162984
10.8270676692,0.525635735166
11.1278195489,0.550795640531
11.4285714286,0.576279386034
11.7293233083,0.602067478631
12.030075188,0.628140425276
12.3308270677,0.654478732926
12.6315789474,0.681062908535
12.9323308271,0.707873459059
13.2330827068,0.734890891452
13.5338345865,0.76209571267
13.8345864662,0.789468429669
14.1353383459,0.816989549402
14.4360902256,0.844639578827
14.7368421053,0.872399024897
15.037593985,0.900248394568
15.3383458647,0.928168194795
15.6390977444,0.956138932534
15.9398496241,0.98414111474
16.2406015038,1.01215524837
16.5413533835,1.04016184037
16.8421052632,1.06814139771
17.1428571429,1.09607442733
17.4436090226,1.1239414362
17.7443609023,1.15172293127
18.045112782,1.17939941948
18.3458646617,1.20695140781
18.6466165414,1.2343594032
18.9473684211,1.26160391261
19.2481203008,1.28866544299
19.5488721805,1.31552450131
19.8496240602,1.3421615945
20.1503759398,1.36855722954
20.4511278195,1.39469191337
20.7518796992,1.42054615295
21.0526315789,1.44610045524
21.3533834586,1.47133532719
21.6541353383,1.49623127575
21.954887218,1.52076880789
22.2556390977,1.54492843055
22.5563909774,1.56869065069
22.8571428571,1.59203597527
23.1578947368,1.61494491124
23.4586466165,1.63739796556
23.7593984962,1.65937564518
24.0601503759,1.68085848542
24.3609022556,1.70183303446
24.6616541353,1.72229925594
24.962406015,1.74225892871
25.2631578947,1.76171383164
25.5639097744,1.78066574356
25.8646616541,1.79911644334
26.1654135338,1.81706770983
26.4661654135,1.83452132188
26.7669172932,1.85147905833
27.0676691729,1.86794269805
27.3684210526,1.88391401988
27.6691729323,1.89939480268
27.969924812,1.9143868253
28.2706766917,1.9288918666
28.5714285714,1.94291170541
28.8721804511,1.95644812061
29.1729323308,1.96950289103
29.4736842105,1.98207779553
29.7744360902,1.99417461297
30.0751879699,2.00579512219
30.3759398496,2.01694110206
30.6766917293,2.02761433141
30.977443609,2.0378165891
31.2781954887,2.04754965399
31.5789473684,2.05681530493
31.8796992481,2.06561532077
32.1804511278,2.07395148036
